0:0:0:0:0:0:0:1 - - [03/Sep/2015:15:00:34 +0530] GET /js/ViewerJS/images/toolbarButton-zoomIn.png HTTP/1.1 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2015:15:00:34 +0530] GET /js/ViewerJS/images/toolbarButton-zoomOut.png HTTP/1.1 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2015:15:00:34 +0530] GET /js/ViewerJS/images/toolbarButton-pageUp.png HTTP/1.1 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2015:15:00:34 +0530] GET /js/ViewerJS/images/toolbarButton-pageDown.png HTTP/1.1 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2015:15:00:34 +0530] GET /js/ViewerJS/images/toolbarButton-menuArrows.png HTTP/1.1 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2015:15:00:34 +0530] GET /images/favicon.ico HTTP/1.1 200 1150
0:0:0:0:0:0:0:1 - - [03/Sep/2015:15:00:34 +0530] HEAD /console/mobiledocumentviewer?documentid=11&revisionid=1.0 HTTP/1.1 200 -
0:0:0:0:0:0:0:1 - - [03/Sep/2015:15:00:34 +0530] GET /console/mobiledocumentviewer?documentid=11&revisionid=1.0 HTTP/1.1 200 930089
0:0:0:0:0:0:0:1 - - [03/Sep/2015:15:01:48 +0530] GET /console HTTP/1.1 200 10731
0:0:0:0:0:0:0:1 - - [03/Sep/2015:15:01:48 +0530] GET /fonts/krystaldms-opensansbold.woff HTTP/1.1 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2015:15:01:48 +0530] GET /console/profilepicture?size=medium&username=ADMINISTRATOR HTTP/1.1 200 11553
0:0:0:0:0:0:0:1 - - [03/Sep/2015:15:01:50 +0530] GET /console/opendocumentclass?classid=1 HTTP/1.1 200 13241
0:0:0:0:0:0:0:1 - - [03/Sep/2015:15:01:50 +0530] GET /fonts/krystaldms-opensansitalic.woff HTTP/1.1 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2015:15:01:55 +0530] POST /console/bulkdelete HTTP/1.1 200 4634
0:0:0:0:0:0:0:1 - - [03/Sep/2015:15:01:57 +0530] GET /cpanel HTTP/1.1 200 5252
0:0:0:0:0:0:0:1 - - [03/Sep/2015:15:01:58 +0530] GET /cpanel/recyclebin HTTP/1.1 200 5222
0:0:0:0:0:0:0:1 - - [03/Sep/2015:15:01:59 +0530] GET /cpanel/recyclebincontent?type=D&classid=1 HTTP/1.1 200 6448
0:0:0:0:0:0:0:1 - - [03/Sep/2015:15:02:01 +0530] GET /cpanel/purgedocument?documentid=10 HTTP/1.1 200 5414
0:0:0:0:0:0:0:1 - - [03/Sep/2015:15:02:03 +0530] GET /cpanel/recyclebincontent?type=D&classid=1 HTTP/1.1 200 5852
0:0:0:0:0:0:0:1 - - [03/Sep/2015:15:02:05 +0530] GET /cpanel/purgedocument?documentid=11 HTTP/1.1 200 5002
0:0:0:0:0:0:0:1 - - [03/Sep/2015:15:02:09 +0530] GET /logout HTTP/1.1 200 2687
0:0:0:0:0:0:0:1 - - [03/Sep/2015:15:02:10 +0530] GET / HTTP/1.1 200 3523
